Rank,Name,Team,Cl,Games,Goals,Per Game
-,Jose Antonio Herrera,IU Indy,So.,12,5,.42
-,Dan Karsten,Lipscomb,Fr.,12,5,.42
-,Luciano Pechota,Ohio St.,Jr.,12,5,.42
-,Agaton Pourshahidi,UC Irvine,Jr.,12,5,.42
-,Erik Reis,Monmouth,Sr.,12,5,.42
-,Bailey Sparks,SMU,Sr.,12,5,.42
-,Chris Swider,Gonzaga,Sr.,12,5,.42
117,Emmanuel Bam,UCF,Sr.,10,4,.40
-,Luis Flores,Oral Roberts,Sr.,10,4,.40
-,Filip Kangeman,Quinnipiac,Sr.,10,4,.40
-,Noah Kvifte,Fla. Atlantic,Sr.,10,4,.40
-,Tyler Morck,St. John's (NY),So.,10,4,.40
-,Richard Morel,Marist,Sr.,10,4,.40
-,Sebastiano Musu,Manhattan,Sr.,10,4,.40
-,Oscar Resano,Jacksonville,Sr.,10,4,.40
-,Kgodiso Sukati,UTRGV,Jr.,10,4,.40
-,Misei Yoshizawa,Clemson,Jr.,10,4,.40
127,Colin Beasley,La Salle,Sr.,13,5,.38
-,Dzenan Cerimagic,USC Upstate,So.,13,5,.38
-,Ryan Hannosh,Butler,So.,13,5,.38
-,Noah James,Western Mich.,So.,13,5,.38
-,Timo Jansen,UAlbany,Jr.,13,5,.38
-,Evan Jones,Holy Cross,Sr.,13,5,.38
-,Greyson Mercer,Western Mich.,Sr.,13,5,.38
-,Mitar Mitrovic,Marquette,Jr.,13,5,.38
-,Oje Ofunrein,Denver,Sr.,13,5,.38
-,Donovan Sessoms,Sacramento St.,So.,13,5,.38
137,Mason Christian,Howard,Sr.,8,3,.38
-,Will Francis,Princeton,Jr.,8,3,.38
-,Peter Gansallo,Howard,Sr.,8,3,.38
-,Ethan Sassine,Dayton,Sr.,8,3,.38
141,Alfred Baafi,High Point,So.,11,4,.36
-,Bryce Blevins,Michigan,Sr.,11,4,.36
-,Zach Bohane,Stanford,Jr.,11,4,.36
-,Simon Carlson,West Virginia,Sr.,11,4,.36
