Rank,Name,Team,Cl,Games,Goals,Per Game
1,Emil Jaaskelainen,Akron,Sr.,21,23,1.10
2,Alex Harris,Cornell,So.,19,19,1.00
3,Sergi Solans,Oregon St.,Fr.,16,14,.88
4,Alec Hughes,Massachusetts,Sr.,19,16,.84
5,Jesus Barea,Missouri St.,Sr.,18,15,.83
6,Matthew Roou,Notre Dame,Sr.,17,14,.82
7,Damorney Hutchinson,Presbyterian,Sr.,15,12,.80
8,Logan Dorsey,Kentucky,Sr.,18,14,.78
9,Dominick Bachstein,Drexel,Sr.,16,12,.75
10,Daniel D'Ippolito,Fordham,Jr.,19,14,.74
11,Ethan Stevenson,Longwood,Sr.,18,13,.72
12,Michael Huss,Liberty,Sr.,16,11,.69
-,Connor Mautino,CSU Bakersfield,Sr.,16,11,.69
14,Ulfur Bjornsson,Duke,So.,19,13,.68
15,Sergio Ors Navarro,West Virginia,Sr.,22,15,.68
16,Joaquin Acuna,North Florida,Sr.,15,10,.67
-,Dean Boltz,Wisconsin,Fr.,15,10,.67
-,Kevin Leonhard,FDU,Sr.,15,10,.67
-,Harrison Myring,South Carolina,Sr.,15,10,.67
-,Trace Terry,Bowling Green,Jr.,18,12,.67
-,Omar Yehya,Utah Valley,Sr.,18,12,.67
22,Bennett Painter,Bowling Green,So.,20,13,.65
23,Alexis Ledoux,UC Santa Barbara,Sr.,22,14,.64
24,Stas Korzeniowski,Penn,Sr.,19,12,.63
25,Omar Mora,Oral Roberts,Jr.,16,10,.62
-,Lineker Rodrigues dos Santos,Marshall,Sr.,24,15,.62
-,Joschi Schelb,Saint Francis,So.,16,10,.62
-,Martin Vician,North Carolina,Sr.,16,10,.62
29,Matthew Goncalves,New Hampshire,Sr.,17,10,.59
-,Ryan Holmes,Ga. Southern,So.,17,10,.59
-,Cole Werthmuller,Wright St.,Sr.,17,10,.59
32,Yaniv Bazini,Vermont,Sr.,24,14,.58
33,Adam Luckhurst,Duke,Sr.,19,11,.58
34,Lorenzo Amaral,Brown,So.,14,8,.57
35,Matteo Correia,Cleveland St.,Fr.,16,9,.56
-,Sam Donnellan,Delaware,Sr.,16,9,.56
-,Gage Guerra,Louisville,Sr.,16,9,.56
-,Marius Stenner,Delaware,Fr.,16,9,.56
39,Donovan Sessoms,Sacramento St.,So.,18,10,.56
-,Scott Vatne,Elon,Sr.,18,10,.56
41,Elie Kisoka,Kansas City,Jr.,22,12,.55
42,Ibrahim Conde,New Hampshire,Sr.,13,7,.54
43,Josemir Gomez,Butler,Jr.,15,8,.53
44,Ethan Ballek,South Carolina,Jr.,17,9,.53
45,Angel Iniguez,San Jose St.,Jr.,19,10,.53
46,Marcus Caldeira,West Virginia,Jr.,21,11,.52
-,Cason Goodman,UC Davis,Jr.,21,11,.52
48,Michael Adedokun,Ohio St.,Sr.,22,11,.50
-,Jackson Castro,Creighton,Sr.,18,9,.50
-,Leonardo D'Ambrosio,Col. of Charleston,Sr.,18,9,.50
-,Mamadou Diarra,Fla. Atlantic,Sr.,16,8,.50
-,Momo Diop,Rider,Jr.,20,10,.50
-,Arnau Farnos,Oregon St.,Jr.,18,9,.50
-,Laurie Goddard,Hofstra,Jr.,18,9,.50
-,Marek Gonda,George Mason,Sr.,16,8,.50
-,Sergio Gonzalez Fernandez,Iona,Jr.,18,9,.50
-,Noah Kvifte,Fla. Atlantic,Sr.,16,8,.50
-,Alex Meinhard,Clemson,Sr.,22,11,.50
-,Yoshiya Okawa,UNC Greensboro,Sr.,16,8,.50
-,Bautista Rossi,Iona,Fr.,16,8,.50
-,Ethan Sassine,Dayton,Sr.,16,8,.50
-,Hector Taboada,Kansas City,So.,18,9,.50
63,Tommy Mihalic,Indiana,Sr.,21,10,.48
64,Daniel Ittycheria,Princeton,Jr.,19,9,.47
-,Alejandro Martinez,Milwaukee,Jr.,19,9,.47
-,Marc Pitarch Bayot,Bryant,Sr.,19,9,.47
67,Colin Beasley,La Salle,Sr.,17,8,.47
-,Ander Castillo,UAlbany,Sr.,17,8,.47
-,Ask Ekeland,Boston College,Jr.,17,8,.47
-,Pietro Fontana,Central Ark.,Jr.,17,8,.47
-,Noeh Hernandez,DePaul,So.,17,8,.47
72,Shane Anderson,Purdue Fort Wayne,Sr.,15,7,.47
-,Ziv Dahan,Manhattan,So.,15,7,.47
74,Maximilian Kissel,Vermont,Jr.,24,11,.46
75,Martin Bakken,Dayton,So.,20,9,.45
-,Samy Kanaan,San Diego,Jr.,20,9,.45
-,Elias Khodri,Gardner-Webb,Jr.,20,9,.45
-,Luis Sahmkow,Pittsburgh,Sr.,20,9,.45
79,Luke Hille,North Carolina,Sr.,18,8,.44
-,Matt Lenert,Col. of Charleston,So.,18,8,.44
-,Richard Morel,Marist,Sr.,18,8,.44
82,Chris Album,Green Bay,Jr.,16,7,.44
-,Luis Flores,Oral Roberts,Sr.,16,7,.44
-,Leon Koehl,Maryland,So.,16,7,.44
-,Arnaud Tattevin,UNC Greensboro,So.,16,7,.44
-,Fabian Wagner,Saint Francis,So.,16,7,.44
87,Vasilis Moiras,Dartmouth,So.,14,6,.43
-,Bailey Sparks,SMU,Sr.,21,9,.43
-,Jacob Woznicki,Hofstra,Sr.,21,9,.43
90,Andrew Armstrong,Dayton,Fr.,19,8,.42
-,Cesar Bahena,San Diego,Jr.,19,8,.42
-,Alioune Ka,Cornell,Sr.,19,8,.42
-,Joseph Melto Quiah,Dayton,Jr.,19,8,.42
94,Gerard Lopez Forner,Niagara,Sr.,12,5,.42
-,Tim Strele,Saint Peter's,Jr.,12,5,.42
96,Logan Finnegan,DePaul,Sr.,17,7,.41
-,Maxi Hopfer,Duquesne,Sr.,17,7,.41
-,Tajio James,Central Ark.,Sr.,17,7,.41
-,James Jennings,Missouri St.,Sr.,17,7,.41
-,Nico Lopez,UNLV,Sr.,17,7,.41
-,Bart Muns,UIC,Sr.,17,7,.41
-,Guershom Sylvain,Detroit Mercy,Jr.,17,7,.41
103,Roy Biegon,Lafayette,So.,15,6,.40
-,Trenton Blake,Dartmouth,So.,15,6,.40
-,Joseph Farouz,Yale,So.,15,6,.40
-,Brendan Herb,UNC Asheville,Sr.,15,6,.40
-,Sebastiano Musu,Manhattan,Sr.,15,6,.40
-,Danail Sergiev,Chicago St.,Sr.,15,6,.40
-,Hjalti Sigurdsson,Dayton,Sr.,20,8,.40
