Rank,Name,Team,Cl,Games,Goals,Per Game
-,Javanne Smith,Lipscomb,Sr.,15,6,.40
-,Titus Washington,Seattle U,Sr.,20,8,.40
112,Sam Bassett,Denver,Sr.,23,9,.39
-,Oje Ofunrein,Denver,Sr.,23,9,.39
114,Joe Highfield,Portland,Fr.,18,7,.39
-,Timo Jansen,UAlbany,Jr.,18,7,.39
-,Evan Jones,Holy Cross,Sr.,18,7,.39
-,Bright Nutornutsi,Grand Canyon,Jr.,18,7,.39
-,Devonte Richards,Central Ark.,Sr.,18,7,.39
-,Justin Weiss,Indiana,Sr.,18,7,.39
120,Trip Fleming,Wisconsin,So.,13,5,.38
121,Nacho Diaz Barragan,Evansville,Sr.,21,8,.38
-,Raphael Kistmann,Kansas City,Jr.,21,8,.38
-,Luis Lara,Saint Louis,Sr.,21,8,.38
-,Greyson Mercer,Western Mich.,Sr.,21,8,.38
125,Cooper Flax,Wake Forest,Jr.,24,9,.38
-,Trevor Harrison,Stony Brook,Sr.,16,6,.38
-,Jose Antonio Herrera,IU Indy,So.,16,6,.38
-,Dan Karsten,Lipscomb,Fr.,16,6,.38
-,Gage Lyons,Army West Point,So.,16,6,.38
-,Erik Reis,Monmouth,Sr.,16,6,.38
-,Hugo Urdiales,Loyola Chicago,Jr.,16,6,.38
132,Chase Gilley,Robert Morris,Sr.,19,7,.37
-,Ethan Giwa-McNeil,Houston Christian,Sr.,19,7,.37
-,Hakim Karamoko,NC State,So.,19,7,.37
-,Alex Kryazhev,FDU,Sr.,19,7,.37
-,David Perez,North Florida,Jr.,19,7,.37
-,Agaton Pourshahidi,UC Irvine,Jr.,19,7,.37
138,Teddy Baker,Hofstra,Sr.,17,6,.35
-,Kyran Chambron Pinho,SMU,Sr.,17,6,.35
-,Nicholas Dunbar,Portland,So.,17,6,.35
-,Ryan Hannosh,Butler,So.,17,6,.35
-,Bojan Kolevski,Cleveland St.,Sr.,17,6,.35
-,Brendan Krueger,High Point,Jr.,17,6,.35
-,Terence Okoeguale,San Diego St.,Jr.,17,6,.35
-,Gabriel Ramos,ETSU,Sr.,17,6,.35
146,Joran Gerbet,Clemson,Sr.,20,7,.35
-,Roberto Ordonez,Cal St. Fullerton,Sr.,20,7,.35
-,Blake Pipkin,Colgate,Fr.,20,7,.35
-,Albert Thorsen,Pittsburgh,So.,20,7,.35
150,Palmer Ault,Butler,Jr.,15,5,.33
-,AJ Chastonay,Belmont,Sr.,15,5,.33
-,Jose Contell,UCLA,Sr.,18,6,.33
-,Louis Crofts,George Washington,Fr.,15,5,.33
-,David Garcia Gallego,Sacred Heart,Jr.,15,5,.33
-,Noah James,Western Mich.,So.,21,7,.33
-,Grant Martin,VMI,Sr.,18,6,.33
-,Andres Mata,Stetson,Jr.,15,5,.33
-,Robbie Matei,San Diego St.,Sr.,18,6,.33
-,Justin Mclean,Georgia St.,Jr.,15,5,.33
-,Mario Navarro Perez,Siena,So.,18,6,.33
-,A.J. Schuetz,Navy,Jr.,12,4,.33
-,Jaxon Reinhardt,North Florida,Jr.,4,2,.50
-,Matthew Roou,Notre Dame,Sr.,2,1,.50
-,Justin Ruth,Delaware,Sr.,4,2,.50
-,Joan Sanchis,Rhode Island,Jr.,4,2,.50
-,Hjalti Sigurdsson,Dayton,Sr.,4,2,.50
-,Javanne Smith,Lipscomb,Sr.,4,2,.50
-,Bailey Sparks,SMU,Sr.,4,2,.50
-,Ellis Spikner,Oregon St.,Sr.,4,2,.50
-,Oliver Stavdal,Kentucky,Fr.,2,1,.50
-,Wyatt Stevens,Navy,Fr.,4,2,.50
-,Kgodiso Sukati,UTRGV,Jr.,2,1,.50
-,Michael Switala,Canisius,Jr.,4,2,.50
-,Dylan Tellado,Harvard,So.,2,1,.50
-,Trace Terry,Bowling Green,Jr.,4,2,.50
-,Albert Thorsen,Pittsburgh,So.,4,2,.50
-,Pablo Torre,UTRGV,Fr.,2,1,.50
-,Luke Van Heukelum,Maryland,So.,4,2,.50
-,Colin Veltri,Elon,Jr.,4,2,.50
-,Kevin Ventura,Central Ark.,Sr.,4,2,.50
-,Fabian Wagner,Saint Francis,So.,4,2,.50
-,Wan Kuzri Wan Kamal,Akron,Sr.,4,2,.50
-,Titus Washington,Seattle U,Sr.,2,1,.50
-,Keith Willey,Utah Valley,Jr.,4,2,.50
-,Omar Yehya,Utah Valley,Sr.,4,2,.50
-,Matthew Zachemski,Wisconsin,Fr.,4,2,.50
-,Devin Zachry,Fairfield,Fr.,4,2,.50
-,Sebastian Zettl,Fla. Atlantic,Jr.,4,2,.50
-,Nick Zielonka,Kentucky,Sr.,2,1,.50
-,Vinzent Zingel,Pacific,Sr.,4,2,.50
